number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
4048,MrTrustor,Feature request: Google Cloud Build stage,open,1,9,0,9,0,0,0,0,2019-02-27 11:28:37 UTC,2019-03-25 22:18:38 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4048
4070,clareliguori,ECS Proposal: Retrieve task definition from artifact,open,5,18,5,13,0,0,0,0,2019-03-05 18:44:33 UTC,2019-03-05 20:42:30 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4070
3265,sbwsg,Include Horizontal Pod Autoscaler in instance details view,open,5,10,0,10,0,0,0,0,2018-08-28 17:49:53 UTC,2019-01-23 15:00:37 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3265
3504,robzienert,RFC: JVM Code Styles Enforcement,open,6,11,0,11,0,0,0,0,2018-10-24 22:04:59 UTC,2019-03-18 14:06:41 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3504
2047,mdirkse,Support Gitlab CI as Git and CI provider in Igor,open,20,24,0,24,0,0,0,0,2017-10-20 14:02:16 UTC,2019-03-14 08:59:29 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/2047
1873,cristim,Support private/generic git repos,open,20,19,0,19,0,0,0,0,2017-08-01 16:03:03 UTC,2019-03-15 12:58:43 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/1873
3969,ethanfrogers,RFC - Dynamic account discovery in Clouddriver,open,25,8,0,8,0,0,0,0,2019-02-13 15:18:01 UTC,2019-04-08 12:14:24 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/3969
2587,lwander,"Kubernetes V2 ""Run Job"" Stage",open,28,5,0,5,0,0,0,0,2018-03-27 18:09:15 UTC,2019-04-15 12:48:59 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/2587
4304,saimadineni,Current implementation of Upsert lambda alias does not work,open,0,0,0,0,0,0,0,0,2019-04-15 20:22:21 UTC,2019-04-15 20:22:21 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4304
4303,Jammy-Louie,Convert the Notifications angular directive and Modal into a React component,open,0,0,0,0,0,0,0,0,2019-04-15 20:21:14 UTC,2019-04-15 20:21:14 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4303
4302,Jammy-Louie,Convert the Parameters angular directive into a React component,open,0,0,0,0,0,0,0,0,2019-04-15 20:04:00 UTC,2019-04-15 20:04:00 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4302
4301,Jammy-Louie,add HAL configurations for Artifactory and Concourse,open,0,0,0,0,0,0,0,0,2019-04-15 19:54:10 UTC,2019-04-15 19:54:10 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4301
4296,perek,Bug(Fiat) - Fiat Google Groups does not handle null names,open,0,0,0,0,0,0,0,0,2019-04-15 18:20:15 UTC,2019-04-15 18:22:16 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4296
4295,Jammy-Louie,Convert the Triggger angular directive into a React component,open,0,0,0,0,0,0,0,0,2019-04-15 17:51:52 UTC,2019-04-15 20:01:06 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4295
4292,syedraqib,Manual Judgement - Getting terminated,open,0,0,0,0,0,0,0,0,2019-04-15 15:39:10 UTC,2019-04-15 15:39:10 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4292
4290,papanito,Deployment fails with io.fabric8.kubernetes.client.KubernetesClientException: Failure executing: GET,open,0,0,0,0,0,0,0,0,2019-04-15 15:30:52 UTC,2019-04-15 17:26:23 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4290
4285,Click2Cloud-electron,Issues  while building Spinnaker source code,open,0,0,0,0,0,0,0,0,2019-04-15 04:56:45 UTC,2019-04-15 04:56:45 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4285
4283,renperez,error when deploying kubernetes cronjob manifest,open,0,0,0,0,0,0,0,0,2019-04-12 19:17:41 UTC,2019-04-13 00:10:51 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4283
4281,haykbaluyan,Support Shielded VM related configurations for GCP instance templates.,open,0,0,0,0,0,0,0,0,2019-04-11 21:28:39 UTC,2019-04-14 22:49:03 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4281
4280,stewchen,Spin CLI: Make gate endpoint work without a port,open,0,0,0,0,0,0,0,0,2019-04-11 20:23:16 UTC,2019-04-11 20:23:48 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4280
4278,carvercj,CloudFormation deploy stage waits indefinitely even after successful deploy,open,0,0,0,0,0,0,0,0,2019-04-11 12:27:37 UTC,2019-04-11 15:33:15 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4278
4273,oliverisaac,CloudDrive Requires Too Many Permissions,open,0,0,0,0,0,0,0,0,2019-04-10 18:35:47 UTC,2019-04-10 18:48:43 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4273
4270,diasjorge,Red/black deployments fail the first time on Google Cloud,open,0,0,0,0,0,0,0,0,2019-04-10 08:24:56 UTC,2019-04-10 14:26:26 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4270
